id;Title;Image Path;Image Filename;Content;Товар Бренд;Товар Кастомный артикул;Категории товаров;Категории товаров;;;;;Комплектация;Технические характеристики;Характеристики;Опции;Аксессуары;Преимущества;Видео;Применение;Информация для заказа;Заказать;Публикации;Скачать;Инфо;Расходные материалы
2648;EXZHELLENT XXI ES 05Z1-K;/2018/06/general_cable_exzhellent_xxi.jpg;general_cable_exzhellent_xxi.jpg;"<p>Монтажные провода <span style=""color: #00a9e0;""><strong>EXZhellent XXI ES 05Z1-K</strong></span> и <span style=""color: #00a9e0;""><strong>H07Z1-K</strong></span> рекомендованы для систем передачи электроэнергии внутри помещений, в жилом секторе, на промышленных, общественных предприятиях (офисы, торговые и развлекательные центры, медицинские учреждения и т.д.) и транспорте. Особенно эффективно использование данного типа провода в условиях крайнего Севера, Сибири и Дальнего Востока, а так же в нефтегазовой промышленности.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table id=""techicons"" class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""first"">1</div>
</td>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
<td>
<div class=""seventh"">7</div>
</td>
<td>
<div class=""eighth"">8</div>
</td>
<td>
<div class=""ninth"">9</div>
</td>
<td>
<div class=""tenth"">10</div>
</td>
</tr>
<tr>
<td>Морозоустойчивый -48/-55°C</td>
<td>Гибкие проводники</td>
<td>Не поддерживает горения (одиночный кабель)</td>
<td>Не выделяет кислотных газов</td>
<td>Без галогенов</td>
<td>Минимальное выделение дыма</td>
<td>Не поддерживает горения (пучок кабелей)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Монтажный провод;Монтажный провод;;;;;"<p><strong>Проводник:</strong> медный многопроволочный</p>
<p><strong>Класс гибкости проводника:</strong> 5-й (МЭК 60228); ~4-й (ГОСТ 22483-77)</p>
<p><strong>Изоляция проводника:</strong> полиолефин LSZH</p>
<p><strong>Рабочее напряжение:</strong> 300/500В (ES05Z1-K), 450/750В (H07Z1-K)</p>
<p><strong>Температура эксплуатации:</strong> - 55°С +70°С (фиксированное состояние); - 48°С +70°С (подвижное состояние)</p>
<p><strong>Температура инсталляции:</strong> - 15°С +70°С</p>
<p> </p>
<h2><span style=""color: #177fc0;"">Технические характеристики монтажного провода ES05/07Z1-K (таблица 1)</span></h2>
<table class=""table table-bordered"">
<thead>
<tr><th>Артикул</th><th>Тип провода</th><th>Рабочее напряжение U/Uo</th><th>Сечение</th><th>Внешн. диаметр</th><th>Вес</th><th>Радиус изгиба</th><th colspan=""4"" width=""210"">Макс, рабочий ток (А)</th></tr>
<tr><th> </th><th> </th><th>(В)</th><th>(мм<sup>2</sup>)</th><th>(мм)</th><th>(кг/км)</th><th>(мм)</th><th>(1)</th><th>(2)</th><th>(3)</th><th>(4)</th></tr>
</thead>
<tbody>
<tr>
<td>gсе1660103...-Ь200</td>
<td>ES05Z1-K</td>
<td>300/500В</td>
<td>1x0,5</td>
<td>2,1</td>
<td>9</td>
<td>15</td>
<td>9</td>
<td>6</td>
<td>8</td>
<td>8</td>
</tr>
<tr>
<td>gce1660104...-b200</td>
<td>ES05Z1-K</td>
<td>300/500В</td>
<td>1x0,75</td>
<td>2,3</td>
<td>11</td>
<td>15</td>
<td>12</td>
<td>8</td>
<td>10</td>
<td>10</td>
</tr>
<tr>
<td>gce1660105...-b200</td>
<td>ES05Z1-K</td>
<td>300/500В</td>
<td>1x1</td>
<td>2,5</td>
<td>14</td>
<td>15</td>
<td>16</td>
<td>11</td>
<td>15</td>
<td>15</td>
</tr>
<tr>
<td>gce1656106...-b200</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x1,5</td>
<td>2,9</td>
<td>20</td>
<td>20</td>
<td>24</td>
<td>16</td>
<td>20</td>
<td>20</td>
</tr>
<tr>
<td>gce1656107...-b200</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x2,5</td>
<td>3,5</td>
<td>35</td>
<td>25</td>
<td>33</td>
<td>22</td>
<td>28</td>
<td>27</td>
</tr>
<tr>
<td>gce1656108...-b100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x4</td>
<td>4,1</td>
<td>45</td>
<td>25</td>
<td>44</td>
<td>29</td>
<td>38</td>
<td>36</td>
</tr>
<tr>
<td>gce1656109.. .-b100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x6</td>
<td>4,6</td>
<td>65</td>
<td>30</td>
<td>56</td>
<td>38</td>
<td>48</td>
<td>47</td>
</tr>
<tr>
<td>gce1656110...c100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x10</td>
<td>6</td>
<td>110</td>
<td>40</td>
<td>80</td>
<td>56</td>
<td>69</td>
<td>68</td>
</tr>
<tr>
<td>gce1656111...-c100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x16</td>
<td>7</td>
<td>165</td>
<td>45</td>
<td>106</td>
<td>75</td>
<td>91</td>
<td>91</td>
</tr>
<tr>
<td>gce1656112...c100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x25</td>
<td>8,6</td>
<td>250</td>
<td>55</td>
<td>142</td>
<td>102</td>
<td>122</td>
<td>123</td>
</tr>
<tr>
<td>gce1656113...-c100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x35</td>
<td>9,7</td>
<td>340</td>
<td>60</td>
<td>176</td>
<td>128</td>
<td>152</td>
<td>153</td>
</tr>
<tr>
<td>gce1656114...c100</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x50</td>
<td>11,5</td>
<td>490</td>
<td>70</td>
<td>223</td>
<td>164</td>
<td>193</td>
<td>195</td>
</tr>
<tr>
<td>gce1657115...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x70</td>
<td>13,4</td>
<td>670</td>
<td>90</td>
<td>282</td>
<td>209</td>
<td>243</td>
<td>247</td>
</tr>
<tr>
<td>gce1657116...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x95</td>
<td>15,4</td>
<td>885</td>
<td>95</td>
<td>339</td>
<td>254</td>
<td>292</td>
<td>299</td>
</tr>
<tr>
<td>gce1657117...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x120</td>
<td>17,2</td>
<td>1120</td>
<td>105</td>
<td>401</td>
<td>302</td>
<td>345</td>
<td>353</td>
</tr>
<tr>
<td>gce1657118...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x150</td>
<td>19</td>
<td>1390</td>
<td>115</td>
<td>462</td>
<td>350</td>
<td>398</td>
<td>407</td>
</tr>
<tr>
<td>gce1657119...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x185</td>
<td>20,9</td>
<td>1690</td>
<td>125</td>
<td>524</td>
<td>400</td>
<td>452</td>
<td>463</td>
</tr>
<tr>
<td>gce1657120...-T</td>
<td>ES07Z1-K</td>
<td>450/750D</td>
<td>1x240</td>
<td>24,2</td>
<td>2245</td>
<td>145</td>
<td>632</td>
<td>485</td>
<td>545</td>
<td>559</td>
</tr>
<tr>
<td colspan=""11"" width=""225"">Вместо точек в артикуле подставляется код цвета оболочки (расшифровку кодов см. таблицу №3)</td>
</tr>
</tbody>
</table>
<p> </p>
<p>Максимальный рабочий ток указан для одиночного провода при температуре окружающего воздуха 25°С</p>
<p>(1) Горизонтально уложенные провода, расположенные друг от друга на расстоянии &gt;= 0,75 диаметра провода</p>
<p>(2) Три соприкасающихся провода</p>
<p>(3) Два провода, расположены горизонтально и касаются друг друга</p>
<p>(4) Два провода, расположены вертикально и касаются друг друга</p>
<p> </p>
<h2><span style=""color: #177fc0;"">Корректирующие коэффициенты для температур воздуха, отличных от 25°С (таблица 2)</span></h2>
<table class=""table table-bordered"">
<thead>
<tr><th>Температура</th><th>15°С</th><th>20°С</th><th>25°С</th><th>30°С</th><th>35°С</th><th>40°С</th><th>45°С</th><th>50°С</th><th>55°С</th><th>60°С</th></tr>
</thead>
<tbody>
<tr>
<td>Провод с ПВХ оболочкой</td>
<td>1,11</td>
<td>1,06</td>
<td>1</td>
<td>0,94</td>
<td>0,89</td>
<td>0,82</td>
<td>0,75</td>
<td>0,65</td>
<td>0,58</td>
<td>0,48</td>
</tr>
<tr>
<td>Провод с LSZH оболочкой</td>
<td>1,07</td>
<td>1,04</td>
<td>1</td>
<td>0,96</td>
<td>0,92</td>
<td>0,99</td>
<td>0,93</td>
<td>0,79</td>
<td>0,74</td>
<td>0,68</td>
</tr>
</tbody>
</table>
<p> </p>
<h2><span style=""color: #177fc0;"">Номенклатура провода ES 05/07Z1-K LSZH, поддерживаемая на складе в Москве (таблица 3)</span></h2>
<table class=""table table-bordered"">
<thead>
<tr><th rowspan=""2"">Артикул</th><th>Сечение</th><th colspan=""11"">Цветовая гамма, поддерживаемая на складе</th><th rowspan=""2"">Упаковка</th></tr>
<tr><th>мм<sup>2</sup></th><th>желт.</th><th>ж/зел.</th><th>голубой</th><th>синий</th><th>белый</th><th>серый</th><th>корич.</th><th>чёрн.</th><th>оранж.</th><th>краcн.</th><th>зелен.</th></tr>
</thead>
<tbody>
<tr>
<td>gсе1660103...-Ь2</td>
<td>1x0,5</td>
<td><img src=""/images/colordots/yellow.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td><img src=""/images/colordots/blue.png"" alt="""" /></td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td><img src=""/images/colordots/orange.png"" alt="""" /></td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td><img src=""/images/colordots/green.png"" alt="""" /></td>
<td>коробка 200 м</td>
</tr>
<tr>
<td>gce1660104...-b200</td>
<td>1x0,75</td>
<td><img src=""/images/colordots/yellow.png"" alt="""" /></td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td><img src=""/images/colordots/blue.png"" alt="""" /></td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td><img src=""/images/colordots/orange.png"" alt="""" /></td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td><img src=""/images/colordots/green.png"" alt="""" /></td>
<td>коробка 200 м</td>
</tr>
<tr>
<td>gce1660105..,b200</td>
<td>1x1</td>
<td><img src=""/images/colordots/yellow.png"" alt="""" /></td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td><img src=""/images/colordots/blue.png"" alt="""" /></td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td><img src=""/images/colordots/orange.png"" alt="""" /></td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td><img src=""/images/colordots/green.png"" alt="""" /></td>
<td>коробка 200 м</td>
</tr>
<tr>
<td>gce1656106...-b200</td>
<td>1x1,5</td>
<td><img src=""/images/colordots/yellow.png"" alt="""" /></td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td><img src=""/images/colordots/blue.png"" alt="""" /></td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td><img src=""/images/colordots/orange.png"" alt="""" /></td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td><img src=""/images/colordots/green.png"" alt="""" /></td>
<td>коробка 200 м</td>
</tr>
<tr>
<td>gce1656107...-b200</td>
<td>1x2,5</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td> </td>
<td>коробка 200 м</td>
</tr>
<tr>
<td>gce1656108...-b100</td>
<td>1x4</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td> </td>
<td>коробка 100 м</td>
</tr>
<tr>
<td>gce1656109...b100</td>
<td>1x6</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/white.png"" alt="""" /></td>
<td><img src=""/images/colordots/grey.png"" alt="""" /></td>
<td><img src=""/images/colordots/brown.png"" alt="""" /></td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td><img src=""/images/colordots/red.png"" alt="""" /></td>
<td> </td>
<td>коробка 100 м</td>
</tr>
<tr>
<td>gce1656110...-c100</td>
<td>1 х 10</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>рулон 100 м</td>
</tr>
<tr>
<td>gce1656111...-c100</td>
<td>1 х16</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>рулон 100 м</td>
</tr>
<tr>
<td>gce1656112...-c100</td>
<td>1 х25</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>рулон 100 м</td>
</tr>
<tr>
<td>gce1656113...-c100</td>
<td>1 х35</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>рулон 100 м</td>
</tr>
<tr>
<td>gce1656114...-c100</td>
<td>1 х50</td>
<td> </td>
<td><img src=""/images/colordots/yelgreen.png"" alt="""" width=""15"" height=""15"" /></td>
<td><img src=""/images/colordots/lblue.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>рулон 100 м</td>
</tr>
<tr>
<td>gce1657115...-T</td>
<td>1 х70</td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td><img src=""/images/colordots/black.png"" alt="""" /></td>
<td> </td>
<td> </td>
<td> </td>
<td>метраж</td>
</tr>
<tr>
<td>gce1657116...-T</td>
<td>1 х95</td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td> </td>
<td>метраж</td>
</tr>
<tr>
<td colspan=""2"">Вместо точек ... подставляется</td>
<td>ylw</td>
<td>y/g</td>
<td>Ыu</td>
<td>dbl</td>
<td>whi</td>
<td>gry</td>
<td>brn</td>
<td>blc</td>
<td>org</td>
<td>red</td>
<td>grn</td>
<td> </td>
</tr>
</tbody>
</table>
<p>Пустое поле означает, что данные позиции на складе не поддерживаются и поставляются только под заказ. Уточняйте минимально возможную партию поставки.</p>";;;;;;;;;;;
2649;Гибкий силовой кабель ENERGY RV-K FOC с изоляцией проводников из сшитого полиэтилена;/2018/06/general_cable_energy-rv-k-focl.jpg;general_cable_energy-rv-k-focl.jpg;"<p>Силовой кабель <span style=""color: #00a9e0;""><strong>ENERGY RV-K FOC</strong></span> используется для подачи электроэнергии от трансформаторной подстанции до предприятия<br />и разводки по цехам. Также кабель может использоваться в закрытых каналах и под штукатуркой в жилищном строительстве, в том числе<br />низко-квалифицированным персоналом.<br />В линейке этого силового кабеля есть бронированная и экранированные версии, а также специализированные кабели для использования<br />в нефтегазовой промышленности с повышенной устойчивостью к продуктам нефтепереработки. Информация предоставляется по запросу.</p>
<p><a class=""download"" href=""#"">Скачать руководство</a></p>
<table class=""table table-bordered"">
<tbody>
<tr>
<td>
<div class=""second"">2</div>
</td>
<td>
<div class=""third"">3</div>
</td>
<td>
<div class=""fourth"">4</div>
</td>
<td>
<div class=""fifth"">5</div>
</td>
<td>
<div class=""sixth"">6</div>
</td>
</tr>
<tr>
<td>Минимальный радиус изгиба</td>
<td>Гибкие секторные проводники</td>
<td>Гибкие проводники</td>
<td>Максимальная рабочая температура +90°C</td>
<td>Не поддерживает горения (одиночный кабель)</td>
</tr>
</tbody>
</table>";General Cable;;Кабель и провод;Кабель и провод;Силовой кабель;Силовой кабель;;;;;"<p>Монтажные провода <strong><span style=""color: #177fc0;"">GENLIS-F H05V-K</span></strong> и <strong><span style=""color: #177fc0;"">H07V-K</span></strong> преимущественно применяются в силовых и шкафах автоматики. В помещениях можно применять только в закрытых каналах электропроводки (гофрошланг, металлорукав, штукатурка, трубы).</p>
<p>Провода <strong><span style=""color: #177fc0;"">GENLIS-F</span></strong> оптимальны для внутренней разводки приборов, соединения клемм и автоматических выключателей в распределительных силовых шкафах автоматики, диспетчерских пультов, а также для подключения осветительных приборов с номинальным постоянным напряжением до 450/750В (300/500В для <strong><span style=""color: #177fc0;"">H05V-K</span></strong>), или переменным до 1000В (750В для <span style=""color: #177fc0;""><strong>H05V-K</strong></span>).</p>";;;;;;;;;;;"<ul>
<li>Гибкие силовые кабели <span style=""color: #00a9e0;""><strong>Energy RV-K (FOC)</strong></span> являются универсальными, т.к. их можно применять как внутри помещения (одиночная прокладка), так снаружи и даже закапывать в землю.</li>
<li>Изоляция проводников из сшитого полиэтилена (XLPE) позволяет кабелю переносить без разрушения кратковременный нагрев проводников до 250°С и постоянно работать при температуре до 90°С. Если при коротком замыкании автоматика сработает в течение3-5 секунд, то кабель полностью сохраняет свою работоспособность. Кабели с ПВХ изоляцией в такой ситуации необратимо разрушаются,а владелец несёт дополнительные расходы по его замене</li>
<li>Кабели <span style=""color: #00a9e0;""><strong>ENERGY RV-K FOC</strong></span> соответствуют требованию технического регламента РФ № 123-ФЗ по пожарной безопасности о возможности работы кабельной продукции в аварийных режимах, т.е. коротких замыканий и перегрузок, которые являются основной причиной возникновения пожаров по вине электротехнических изделий</li>
<li>Не поддерживает горение для одиночной прокладки (стандарт МЭК 60332-1)</li>
<li>Есть версия кабеля с повышенной устойчивостью к маслам и другим нефтепродуктами, не поддерживающая горение при групповой прокладке (стандарт МЭК 60332-3)</li>
<li>Внешняя изоляция из ПВХ композиции с добавкой акрила, устойчива к широкому спектру промышленных масел и истиранию</li>
<li>Медь используемая для производства провода, имеет специальные антиоксидантные добавки, препятствующие образованию оскида меди, что снижает риск ухудшения эксплуатационных характеристик и увеличения сопротивления в местах контакта</li>
<li>Стабильность сечения проводника, независимо от партии, и хорошая перегрузочная способность позволяют применять расчётные значения, а не брать с запасом на одно сечение больше</li>
<li>5-й класс гибкости, компактная конструкция и оптимизированный вес дают большие преимущества данному типу кабеля при монтаже в условиях ограниченного пространства, особенно при использования кабеля с секторными проводниками (2 и более проводников сечением от 50 мм2), позволяющими дополнительно уменьшить внешний диаметр и вес кабеля.</li>
<li>Увеличенный срок эксплуатации кабеля (30 лет и более)</li>
<li>Низкие транспортные и складские расходы за счет оптимального внешнего диаметра и веса кабеля и катушки</li>
<li>Увеличенная непрерывная длина кабеля позволяет сократить расходы за счёт меньшего количества соединительных муфт</li>
</ul>"
