ID;Название;Сечение
139369;CCB2 33,0/14,0 мм Термоусадочные двупалые перчатки;
139370;CCB2 50,0/21,0 мм Термоусадочные двупалые перчатки;
139371;CCB3 38,0/11,0 мм Термоусадочные трехпалые перчатки;
139372;CCB3 60,0/24,0 мм Термоусадочные трехпалые перчатки;
139373;CCB3 80,0/36,0 мм Термоусадочные трехпалые перчатки;
139374;CCB3 110,0/48,0 мм Термоусадочные трехпалые перчатки;
139375;CCB3 125,0/55,0 мм Термоусадочные трехпалые перчатки;
139376;CCB4 38,0/11,0 мм Термоусадочные четырехпалые перчатки;
139377;CCB4 55,0/20,0 мм Термоусадочные четырехпалые перчатки;
139378;CCB4 72,0/25,0 мм Термоусадочные четырехпалые перчатки;
139379;CCB4 100,0/35,0 мм Термоусадочные четырехпалые перчатки;
139380;CCB4 125,0/54,0 мм Термоусадочные четырехпалые перчатки;
139381;CCAP 0400 (10,2/3,8 мм, черн) Термоусадочный колпачок;
139382;CCAP 0750 (19,1/5,6 мм, черн) Термоусадочный колпачок;
139383;"CVN7 190 3/4&quot; (19,0/9,5 мм, голубая) Термоус. трубка";
139384;"CVN7 254 1&quot; (25,4/12,7 мм, голубая) Термоус. трубка";
139385;"Термоусадочная трубка 5/8&quot;(15.8мм) (прозрачная) PBF";
139386;"PAS 3&quot;(76.0/38.0мм,чер.) Термоус.трубка";
139387;"PAS 4&quot;(102.0/51.0мм,чер.) Термоус.трубка";
139388;"CPX876  1/16&quot;(1,6/0,8 мм, черн.) Термоус. трубка";
139389;"CPX876  3/16&quot;(4,8/2,4 мм, черн.) Термоус. трубка";
139390;CMVBT-1(25.4ммХ1,06ммХ7,62м) Термоусадочная лента красн.;
139391;Термоусадочная перчатка CCB 4 38/11;
139392;Термоусадочная перчатка CCB 4 55/20;
139393;Термоусадочная трубка PES 19,0мм (3/4', крас;
139394;Термоусадочная трубка PES 9,5мм (3/8', синяя;
139395;Термоусадочная трубка PES 9,5мм (3/8', зелен;
139396;Термоусадочная трубка PES 9,5мм (3/8', красн;
139397;Термоусадочная трубка PES 9,5мм (3/8', желта;
