NAME;ARTIKUL
WEICON Набор №1 для срочного ремонта на морских судах;wcn10851001
WEICON Набор №2 для срочного ремонта на морских судах;wcn10851002
WEICON Набор №3 для срочного ремонта на морских судах;wcn10851003
WEICON Цинк Спрей (400 мл);wcn11000400
WEICON Корро-защита спрей (400 мл);wcn11550400
WEICON Набор для выявления трещин: wcn11690500 Диффузор (500 мл), wcn11691500 Проявитель (500 мл);wcn11693500-Set
WEICON O-Ring Набор для изготовления уплотнительных колец;wcn12508030
